Position,Name,Fantasy Points,Salary,Away,Home,Score,Minutes,Stats,Site,ID,Date,First Name,Last Name
C,"Kanter, Enes^",38.7,"$7,000",nyk,v atl,126-107,27:12,16pt 11rb 3as 1st 1bl 1to 5-9fg 6-7ft,fd,4442x,2018-10-17,Enes,Kanter
C,"Gasol, Marc^",33.7,"$8,100",mem,@ ind,83-111,30:11,13pt 6rb 3as 3st 2trey 2-11fg 7-8ft,fd,3990x,2018-10-17,Marc,Gasol
C,"Jordan, DeAndre^",32.9,"$7,500",dal,@ pho,100-121,30:31,11pt 12rb 1as 1st 1bl 5-9fg 1-1ft,fd,4107x,2018-10-17,DeAndre,Jordan
C,"Turner, Myles^",30.1,"$6,700",ind,v mem,111-83,20:22,8pt 8rb 1as 4bl 1to 4-8fg,fd,4781x,2018-10-17,Myles,Turner
C,"Dieng, Gorgui",30,"$4,000",min,@ sas,108-112,24:03,12pt 5rb 2as 2st 1bl 4-8fg 4-6ft,fd,4632x,2018-10-17,Gorgui,Dieng
C,"Pachulia, Zaza",27.4,"$3,500",det,v bkn,103-100,14:43,6pt 7rb 4as 2st 1bl 2to 2-6fg 2-2ft,fd,3553x,2018-10-17,Zaza,Pachulia
C,"Bamba, Mohamed",27.4,"$4,000",orl,v mia,104-101,24:58,13pt 7rb 2bl 1trey 6-8fg 0-2ft,fd,5706x,2018-10-17,Mohamed,Bamba
C,"Vucevic, Nikola^",26.6,"$7,700",orl,v mia,104-101,28:07,12pt 8rb 4as 1st 4to 4-12fg 4-5ft,fd,4373x,2018-10-17,Nikola,Vucevic
C,"Marjanovic, Boban",25.6,"$3,500",lac,v den,98-107,17:51,18pt 8rb 2to 6-8fg 6-6ft,fd,4893x,2018-10-17,Boban,Marjanovic
C,"Valanciunas, Jonas^",24.9,"$6,200",tor,v cle,116-104,20:24,6pt 12rb 3as 3-8fg,fd,4497x,2018-10-17,Jonas,Valanciunas
C,"Adebayo, Bam",23.6,"$4,100",mia,@ orl,101-104,22:00,9pt 8rb 2as 1st 1to 4-9fg 1-2ft,fd,5159x,2018-10-17,Bam,Adebayo
C,"Davis, Ed",21.9,"$3,500",bkn,@ det,100-103,17:36,8pt 7rb 3as 1st 2to 4-4fg 0-1ft,fd,4276x,2018-10-17,Ed,Davis
C,"Gasol, Pau",21.4,"$5,700",sas,v min,112-108,22:41,5pt 7rb 6as 1to 1trey 1-4fg 2-2ft,fd,3308x,2018-10-17,Pau,Gasol
C,"Capela, Clint^",21.1,"$7,800",hou,v nor,112-131,26:11,8pt 8rb 1as 1bl 1to 4-9fg,fd,4766x,2018-10-17,Clint,Capela
C,"Towns, Karl-Anthony^",20.3,"$10,900",min,@ sas,108-112,22:23,8pt 9rb 3as 3to 1trey 2-6fg 3-3ft,fd,4879x,2018-10-17,Karl-Anthony,Towns
C,"Lopez, Brook^",20.1,"$5,800",mil,@ cha,113-112,21:27,14pt 3rb 1as 1st 2to 2trey 4-7fg 4-4ft,fd,4075x,2018-10-17,Brook,Lopez
C,"Hernangomez, Guillermo",17,"$4,000",cha,v mil,112-113,12:16,9pt 5rb 1st 1to 3-5fg 3-5ft,fd,4949x,2018-10-17,Guillermo,Hernangomez
C,"Plumlee, Mason",16.6,"$4,000",den,@ lac,107-98,13:22,2pt 3rb 2as 3bl 1to 1-3fg 0-2ft,fd,4607x,2018-10-17,Mason,Plumlee
C,"Gortat, Marcin^",16.2,"$5,100",lac,v den,98-107,18:10,6pt 6rb 2as 3-5fg,fd,3756x,2018-10-17,Marcin,Gortat
C,"Thompson, Tristan^",16.1,"$4,900",cle,@ tor,104-116,27:05,3pt 13rb 1as 4to 1-5fg 1-2ft,fd,4380x,2018-10-17,Tristan,Thompson
C,"Len, Alex^",14.8,"$5,100",atl,@ nyk,107-126,21:26,7pt 4rb 2as 1bl 3to 3-6fg 1-2ft,fd,4591x,2018-10-17,Alex,Len
C,"Zeller, Cody^",13.1,"$4,600",cha,v mil,112-113,21:06,5pt 3rb 1as 1st 1trey 1-1fg 2-2ft,fd,4614x,2018-10-17,Cody,Zeller
C,"Poeltl, Jakob^",11.8,"$4,600",sas,v min,112-108,7:52,4pt 4rb 2as 2-4fg,fd,5004x,2018-10-17,Jakob,Poeltl
C,"O'Quinn, Kyle",10.1,"$3,800",ind,v mem,111-83,3:58,2pt 3rb 3as 2-2ft,fd,4529x,2018-10-17,Kyle,O'Quinn
C,"Chandler, Tyson",9,"$3,700",pho,v dal,121-100,11:31,0pt 5rb 1st,fd,3307x,2018-10-17,Tyson,Chandler
C,"Plumlee, Miles",7,"$3,500",atl,@ nyk,107-126,9:22,7pt 2-2fg 3-3ft,fd,4542x,2018-10-17,Miles,Plumlee
C,"Robinson, Mitchell",2,"$4,100",nyk,v atl,126-107,1:18,2pt 1-1fg,fd,5700x,2018-10-17,Mitchell,Robinson
C,"Okafor, Jahlil",-2,"$3,900",nor,@ hou,131-112,1:35,0pt 2to,fd,4836x,2018-10-17,Jahlil,Okafor
PG,"Simmons, Ben^",64,"$10,000",phi,@ bos,87-105,42:45,19pt 15rb 8as 4st 2bl 3to 7-14fg 5-11ft,fd,4925x,2018-10-16,Ben,Simmons
PG,"Curry, Stephen^",55.1,"$9,600",gsw,v okc,108-100,36:37,32pt 8rb 9as 1st 3to 5trey 11-20fg 5-5ft,fd,4173x,2018-10-16,Stephen,Curry
SG,"Schroder, Dennis^",46.8,"$6,100",okc,@ gsw,100-108,34:05,21pt 9rb 6as 2st 1bl 3to 2trey 7-19fg 5-6ft,fd,4595x,2018-10-16,Dennis,Schroder
PG,"Rozier, Terry",24.1,"$4,100",bos,v phi,105-87,26:31,11pt 8rb 1as 1bl 1to 1trey 5-10fg,fd,4823x,2018-10-16,Terry,Rozier
SG,"Redick, J.J.",19.9,"$5,100",phi,@ bos,87-105,29:46,16pt 2rb 1as 2trey 7-17fg,fd,3861x,2018-10-16,J.J.,Redick
PG,"Irving, Kyrie^",19.3,"$8,400",bos,v phi,105-87,29:00,7pt 4rb 7as 3to 1trey 2-14fg 2-2ft,fd,4379x,2018-10-16,Kyrie,Irving
SG,"Brown, Jaylen^",19,"$5,900",bos,v phi,105-87,28:23,12pt 5rb 2as 2to 1trey 5-13fg 1-2ft,fd,5017x,2018-10-16,Jaylen,Brown
SG,"Thompson, Klay^",16.8,"$6,800",gsw,v okc,108-100,34:59,14pt 4rb 2to 1trey 5-20fg 3-3ft,fd,4367x,2018-10-16,Klay,Thompson
PG,"Livingston, Shaun",13.1,"$3,500",gsw,v okc,108-100,14:34,6pt 3rb 1as 1st 1to 3-5fg,fd,3651x,2018-10-16,Shaun,Livingston
SG,"Smart, Marcus",13.1,"$5,700",bos,v phi,105-87,25:01,7pt 3rb 3as 2to 2trey 2-4fg 1-2ft,fd,4677x,2018-10-16,Marcus,Smart
PG,"Fultz, Markelle^",11.6,"$5,700",phi,@ bos,87-105,24:20,5pt 3rb 2as 1st 3to 2-7fg 1-2ft,fd,5131x,2018-10-16,Markelle,Fultz
SG,"Abrines, Alex",10.4,"$3,700",okc,@ gsw,100-108,23:28,8pt 2rb 2trey 3-8fg,fd,4943x,2018-10-16,Alex,Abrines
PG,"McConnell, T.J.",9.7,"$3,600",phi,@ bos,87-105,22:26,4pt 1rb 3as 2-5fg,fd,4831x,2018-10-16,T.J.,McConnell
SG,"Diallo, Hamidou",9.7,"$3,500",okc,@ gsw,100-108,8:37,4pt 1rb 1as 1st 2-4fg 0-1ft,fd,5737x,2018-10-16,Hamidou,Diallo
PG,"Felton, Raymond",9.1,"$3,600",okc,@ gsw,100-108,13:55,6pt 3rb 1as 2to 1-5fg 4-5ft,fd,3747x,2018-10-16,Raymond,Felton
SG,"Iguodala, Andre",7.4,"$4,300",gsw,v okc,108-100,10:23,2pt 2rb 2as 1-2fg,fd,3641x,2018-10-16,Andre,Iguodala
SG,"Ferguson, Terrance^",5.3,"$3,500",okc,@ gsw,100-108,26:31,0pt 4rb 1as 1to 0-2fg,fd,5225x,2018-10-16,Terrance,Ferguson
PG,"Cook, Quinn",4.7,"$3,500",gsw,v okc,108-100,13:12,3pt 1rb 1as 1to 1trey 1-2fg,fd,4863x,2018-10-16,Quinn,Cook
PG,"Wanamaker, Brad",3.2,"$3,500",bos,v phi,105-87,00:49,2pt 1rb 1-1fg,fd,5659x,2018-10-16,Brad,Wanamaker
PG,"Shamet, Landry",2.2,"$3,500",phi,@ bos,87-105,12:42,1pt 1rb 0-4fg 1-2ft,fd,5704x,2018-10-16,Landry,Shamet
SG,"Korkmaz, Furkan",0,"$3,500",phi,@ bos,87-105,1:27,0pt,fd,5157x,2018-10-16,Furkan,Korkmaz
SF,"Durant, Kevin^",48.6,"$10,600",gsw,v okc,108-100,37:43,27pt 8rb 6as 1st 1bl 3to 9-21fg 9-10ft,fd,3986x,2018-10-16,Kevin,Durant
SF,"George, Paul^",43.9,"$9,000",okc,@ gsw,100-108,37:24,27pt 2rb 5as 4st 5to 4trey 9-23fg 5-8ft,fd,4283x,2018-10-16,Paul,George
PF,"Tatum, Jayson^",40.3,"$6,200",bos,v phi,105-87,28:56,23pt 9rb 3as 1st 1to 1trey 9-17fg 4-5ft,fd,5111x,2018-10-16,Jayson,Tatum
PF,"Looney, Kevon",33,"$3,500",gsw,v okc,108-100,18:04,10pt 10rb 2as 1st 2bl 1to 5-11fg,fd,4820x,2018-10-16,Kevon,Looney
PF,"Morris, Marcus",33,"$4,500",bos,v phi,105-87,20:30,16pt 10rb 2st 1to 2trey 7-12fg,fd,4407x,2018-10-16,Marcus,Morris
PF,"Green, Draymond^",28.1,"$8,000",gsw,v okc,108-100,32:45,2pt 13rb 5as 3st 6to 1-6fg,fd,4504x,2018-10-16,Draymond,Green
SF,"Hayward, Gordon^",28,"$7,400",bos,v phi,105-87,24:37,10pt 5rb 4st 1trey 4-12fg 1-2ft,fd,4285x,2018-10-16,Gordon,Hayward
SF,"Covington, Robert^",22.2,"$6,500",phi,@ bos,87-105,34:12,8pt 6rb 2st 1bl 2to 2trey 3-10fg,fd,4570x,2018-10-16,Robert,Covington
PF,"Grant, Jerami",21.4,"$4,700",okc,@ gsw,100-108,29:07,7pt 2rb 2as 3bl 1trey 2-7fg 2-4ft,fd,4765x,2018-10-16,Jerami,Grant
PF,"Patterson, Patrick^",18,"$3,500",okc,@ gsw,100-108,18:53,7pt 5rb 1st 1bl 1to 1trey 2-9fg 2-3ft,fd,4302x,2018-10-16,Patrick,Patterson
PF,"Saric, Dario^",11.7,"$6,400",phi,@ bos,87-105,22:55,6pt 6rb 1as 3to 3-8fg,fd,4904x,2018-10-16,Dario,Saric
PF,"Johnson, Amir",10.1,"$3,500",phi,@ bos,87-105,11:11,5pt 3rb 1as 1-1fg 3-4ft,fd,3768x,2018-10-16,Amir,Johnson
PF,"Jerebko, Jonas",2.6,"$3,500",gsw,v okc,108-100,6:10,0pt 3rb 1to,fd,4187x,2018-10-16,Jonas,Jerebko
PF,"Theis, Daniel",1.2,"$3,500",bos,v phi,105-87,4:08,0pt 1rb,fd,5114x,2018-10-16,Daniel,Theis
SF,"Ojeleye, Semi",1.2,"$3,500",bos,v phi,105-87,1:27,0pt 1rb,fd,5115x,2018-10-16,Semi,Ojeleye
PF,"Bolden, Jonah",0,"$3,500",phi,@ bos,87-105,1:27,0pt,fd,5255x,2018-10-16,Jonah,Bolden
PF,"Yabusele, Guerschon",0,"$3,500",bos,v phi,105-87,1:27,0pt,fd,5118x,2018-10-16,Guerschon,Yabusele
SF,"McKinnie, Alfonzo",0,"$3,500",gsw,v okc,108-100,2:21,0pt 0-1fg,fd,5230x,2018-10-16,Alfonzo,McKinnie
C,"Embiid, Joel^",42,"$10,400",phi,@ bos,87-105,36:49,23pt 10rb 2as 1st 2bl 5to 1trey 9-21fg 4-5ft,fd,4762x,2018-10-16,Joel,Embiid
C,"Adams, Steven^",40.2,"$6,900",okc,@ gsw,100-108,35:36,17pt 11rb 4as 2st 2to 6-12fg 5-8ft,fd,4574x,2018-10-16,Steven,Adams
C,"Horford, Al^",28.8,"$7,000",bos,v phi,105-87,29:57,9pt 4rb 2as 5bl 3to 4-7fg 1-1ft,fd,3998x,2018-10-16,Al,Horford
C,"Jones, Damian^",25.6,"$4,000",gsw,v okc,108-100,26:33,12pt 3rb 2as 3bl 2to 6-7fg,fd,4933x,2018-10-16,Damian,Jones
C,"Noel, Nerlens",18.9,"$4,000",okc,@ gsw,100-108,12:24,3pt 7rb 1as 1st 1bl 1-2fg 1-2ft,fd,4652x,2018-10-16,Nerlens,Noel
C,"Baynes, Aron",16.3,"$3,500",bos,v phi,105-87,19:14,8pt 4rb 3as 1to 2trey 3-7fg,fd,4556x,2018-10-16,Aron,Baynes
C,"Bell, Jordan",5.4,"$5,400",gsw,v okc,108-100,6:39,0pt 2rb 1bl,fd,5125x,2018-10-16,Jordan,Bell
